"","Gene11","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene33","Gene34","Gene35","Gene42","Gene43","Gene82","Gene85","Gene87","Gene88","Gene89","Gene90","Gene92","Gene94","Gene95","Gene96","Gene97","Gene98","Gene117","Gene121","Gene122","Gene125","Gene139","Gene140","Gene143","Gene147","Gene152","Gene155","Gene161","Gene165","Gene192","Gene194","Gene233","Gene272","Gene351","Gene414","Gene425","Gene586","Gene602","Gene614","Gene629","Gene659","Gene697","Gene791","Gene819","Gene826","Gene829","Gene966","Gene1000","Gene1026","Gene1076","Gene1107","Gene1111","Gene1139","Gene1171","Gene1206","Gene1374","Gene1429","Gene1431","Gene1439","Gene1492","Gene1509","Gene1607","Gene1628","Gene1657","Gene1695","Gene1714","Gene1753","Gene1755","Gene1829","Gene1873","Gene1902","Gene1939","Gene1941"
"Cell489",0,38,1,14,1,18,1,0,2,9,51,39,1,4,16,12,58,0,1,23,5,12,0,4,2,19,14,59,0,7,0,14,0,4,2,3,0,3,0,37,53,7,0,36,0,22,103,0,5,33,7,7,3,198,36,82,1,67,0,10,24,54,6,0,10,12,0,13,2,2,6,52,25,0,16,61,20,31,1,3,8,0,11,19
"Cell490",0,65,1,11,2,46,0,0,1,14,42,50,0,3,20,18,29,5,1,16,2,14,2,8,2,20,28,70,0,8,0,6,0,7,0,11,4,3,0,49,77,3,0,36,4,21,151,1,7,63,32,0,4,177,19,127,0,47,0,6,51,52,2,1,10,15,0,12,3,5,7,33,26,0,25,59,8,51,1,6,6,0,14,35
"Cell491",0,55,1,19,1,25,0,0,4,27,74,65,2,2,24,6,22,0,4,13,11,14,3,2,2,28,43,62,0,7,0,15,5,12,3,9,0,7,0,66,44,5,0,27,1,41,206,5,5,78,19,9,8,428,28,153,0,67,0,12,35,69,1,4,11,26,0,9,0,2,2,91,77,0,31,66,18,39,6,17,3,0,11,21
"Cell492",0,25,0,9,6,31,0,0,0,28,38,44,0,2,12,6,46,0,1,23,1,19,1,3,0,7,36,61,0,6,0,12,0,5,0,7,1,3,0,45,64,6,0,16,3,21,142,3,4,49,9,0,2,210,22,85,0,45,0,10,13,29,0,1,7,30,3,7,0,6,5,30,38,0,10,47,22,28,1,11,11,0,17,24
"Cell493",0,31,1,18,6,38,0,0,0,32,54,44,1,15,31,11,50,1,8,21,15,17,4,3,1,17,16,58,0,8,0,16,1,4,0,15,0,1,0,41,46,4,3,57,6,25,114,0,6,81,19,3,1,219,20,122,0,65,0,6,36,39,2,0,13,18,0,13,4,3,3,93,61,0,32,59,9,38,7,2,7,0,14,25
"Cell494",0,42,0,26,1,46,0,0,8,22,67,51,0,4,37,7,50,1,2,14,1,28,2,2,4,34,31,59,1,12,0,14,0,6,0,9,7,0,1,46,63,0,0,51,3,16,156,3,3,92,10,1,5,332,21,176,0,68,0,7,21,85,6,0,6,18,0,10,2,10,14,50,62,0,35,56,15,24,12,15,8,7,15,54
"Cell495",0,29,2,9,4,52,1,0,1,16,40,48,1,4,17,7,47,0,4,20,1,38,2,0,3,24,25,73,0,2,0,14,0,6,0,3,5,0,0,45,29,8,0,18,1,23,105,0,5,61,14,5,1,200,20,88,0,52,0,3,9,60,1,5,5,10,0,8,3,3,4,36,36,0,20,35,23,41,0,4,1,0,12,18
"Cell496",0,32,0,11,6,44,0,3,0,20,67,19,0,0,41,12,25,0,1,24,3,6,3,0,5,33,16,68,0,8,0,16,0,2,0,4,5,3,0,37,47,3,0,44,6,34,105,5,6,55,18,10,11,207,21,90,0,51,0,14,33,75,0,0,4,28,0,0,5,2,3,43,36,0,28,35,16,42,0,15,13,2,16,21
"Cell497",0,54,0,13,2,14,1,0,3,14,63,41,0,6,50,4,16,3,0,19,9,11,2,0,0,9,29,55,0,12,1,10,13,2,1,4,4,0,0,19,43,5,0,44,3,29,219,5,10,68,11,5,0,246,16,86,0,55,0,8,27,48,7,3,3,30,0,1,2,4,11,56,31,0,29,73,28,31,1,2,1,0,15,26
"Cell498",0,47,2,8,6,25,0,1,1,29,48,32,0,3,24,10,49,0,1,21,1,21,3,7,1,34,36,55,1,10,0,6,2,7,0,1,10,5,3,49,29,0,0,20,3,55,104,0,1,52,5,2,1,265,13,86,1,47,0,0,19,51,2,3,3,15,0,10,2,3,1,55,62,0,27,49,17,28,0,6,7,4,6,14
"Cell499",0,31,0,28,4,31,3,0,6,27,68,66,1,13,30,14,64,2,3,40,4,31,1,4,4,27,33,65,0,19,0,10,1,10,1,9,3,2,0,59,81,9,0,38,7,23,170,7,4,87,13,9,13,335,52,110,1,37,0,9,22,78,1,2,18,40,0,2,3,3,9,50,64,0,36,64,11,41,4,9,4,1,15,42
"Cell500",0,35,0,8,2,23,0,0,0,21,33,38,3,2,27,7,32,0,1,18,6,14,0,4,1,14,24,92,0,17,0,15,0,2,1,5,1,4,0,59,40,6,0,30,3,28,151,3,7,92,8,7,3,283,34,101,0,52,0,10,27,48,0,2,4,21,0,6,3,4,4,45,58,0,41,68,7,25,0,8,5,3,7,28
"Cell501",0,21,7,8,11,21,0,0,3,9,35,42,1,3,33,13,35,0,8,26,10,18,1,4,1,38,29,47,0,7,0,20,1,5,2,7,17,4,0,60,53,0,0,55,5,32,131,0,20,60,20,5,4,279,19,116,0,67,0,9,30,68,1,1,14,24,0,8,2,7,4,98,79,0,42,63,42,29,5,7,3,8,19,22
"Cell502",0,48,2,22,7,47,1,0,5,17,65,40,0,7,50,5,46,1,3,39,12,10,3,0,1,17,34,107,0,5,0,7,1,8,0,13,4,1,0,44,32,10,0,36,6,43,160,0,0,46,21,1,5,252,22,120,0,51,0,9,15,93,2,0,5,23,0,4,2,4,11,36,35,0,40,56,9,27,3,5,1,2,5,28
"Cell503",0,63,0,29,11,25,1,0,4,19,39,32,0,1,19,4,28,1,1,18,9,18,2,5,1,16,43,63,0,6,0,6,1,1,0,7,4,5,0,51,68,6,0,21,1,23,148,1,15,65,15,2,5,243,22,127,0,48,0,4,18,42,1,0,8,23,0,6,2,1,11,68,37,0,31,69,18,40,3,7,3,3,11,23
"Cell504",0,28,0,13,1,46,0,1,0,16,35,33,0,10,16,4,56,2,0,11,4,28,1,9,2,28,22,76,0,7,0,15,6,8,0,6,4,0,1,58,51,2,0,21,15,24,160,1,7,63,24,3,1,395,21,189,0,57,0,2,22,52,3,1,7,13,0,5,1,2,6,63,51,0,17,44,11,46,0,5,8,0,19,15
"Cell505",0,52,2,34,2,45,6,0,4,24,67,59,0,9,28,23,50,4,8,13,5,52,1,2,4,24,53,85,0,19,1,17,1,7,2,13,6,0,0,34,47,4,1,44,7,47,165,0,6,79,15,5,7,393,26,226,0,61,0,9,35,81,4,1,14,50,0,14,0,7,4,116,106,0,21,123,15,57,5,15,4,0,16,26
"Cell506",0,42,0,17,2,16,0,0,2,23,55,53,0,6,27,8,39,4,3,24,2,19,0,7,4,28,23,54,0,5,1,15,2,0,0,13,6,9,0,25,76,1,0,66,6,12,129,1,9,47,8,1,2,356,27,96,0,76,0,13,23,81,2,4,11,35,0,3,3,1,7,48,63,0,38,75,19,15,1,13,9,2,12,20
"Cell507",0,38,0,15,3,30,0,0,2,15,44,16,0,2,27,14,32,1,4,13,0,17,0,2,0,22,19,54,0,14,0,13,0,2,0,14,6,3,1,38,45,0,0,17,0,23,94,0,0,27,10,1,1,189,9,65,0,36,0,7,25,43,2,1,10,21,0,1,1,3,0,22,40,0,13,32,14,25,3,9,3,0,3,8
"Cell508",0,61,0,33,5,37,0,2,1,26,73,28,2,6,30,3,66,3,5,33,14,35,0,2,2,46,19,83,0,11,0,4,0,21,0,9,2,0,0,57,66,2,0,49,17,43,184,3,12,89,23,1,6,217,42,102,0,60,0,6,29,57,1,5,15,47,0,11,0,5,8,28,49,0,40,88,18,34,0,7,6,1,6,17
"Cell509",0,74,0,39,1,26,1,3,3,60,51,49,3,23,20,17,47,1,3,28,23,23,7,1,1,28,56,73,2,7,0,15,1,9,0,10,1,3,1,61,68,3,0,39,2,24,153,11,5,54,10,4,7,365,45,164,1,82,1,2,42,52,4,1,8,39,2,5,5,4,10,115,82,0,60,65,17,38,1,20,7,0,12,41
"Cell510",0,17,9,27,6,35,0,0,8,22,43,41,0,3,30,0,36,0,1,22,16,7,7,3,0,27,40,91,0,3,0,2,1,6,1,14,3,4,0,59,44,16,0,29,4,31,176,1,2,78,16,4,9,222,29,171,0,56,0,3,40,48,0,6,8,45,0,5,6,1,4,78,39,0,19,111,21,35,1,12,3,0,16,25
"Cell511",0,33,1,16,2,28,0,0,8,14,69,70,0,13,55,7,69,3,4,16,13,28,8,2,2,38,50,77,0,10,0,20,1,1,0,7,4,0,0,68,79,4,0,76,2,40,152,2,8,59,8,7,10,208,29,145,0,70,0,8,44,90,8,1,14,40,0,7,1,0,8,70,63,0,28,85,14,37,0,12,7,0,17,14
"Cell512",0,43,0,6,6,41,0,0,1,10,58,32,1,9,16,6,30,0,0,18,4,16,1,0,1,34,48,32,0,15,1,5,1,1,0,16,5,0,0,27,27,10,0,35,1,24,140,1,2,53,10,3,7,210,27,137,0,41,0,23,11,60,2,1,7,24,0,2,3,0,3,37,37,0,16,68,20,20,3,11,6,2,14,22
"Cell513",0,32,4,10,4,30,0,0,1,5,49,57,0,1,29,4,58,5,1,16,3,15,2,3,0,18,40,63,0,13,0,4,0,1,1,9,1,0,0,52,49,10,0,39,15,25,122,1,19,32,10,3,10,249,27,111,0,54,0,3,24,74,1,7,10,14,0,10,2,1,7,58,48,0,19,35,10,47,2,9,3,0,9,22
"Cell514",0,59,6,27,9,42,0,0,9,19,74,39,3,4,26,16,56,2,1,24,10,19,2,0,2,21,51,90,0,15,2,20,4,11,0,10,4,1,0,46,68,12,0,16,2,26,181,1,1,66,11,3,15,287,27,125,0,57,0,2,16,56,1,0,4,31,0,9,1,2,13,62,70,0,43,62,25,28,0,19,10,0,11,20
"Cell515",0,54,0,21,13,42,3,0,11,31,76,52,0,4,20,7,34,3,0,12,14,22,4,1,3,23,36,88,0,12,0,10,0,9,0,10,5,1,0,79,84,7,0,23,2,37,176,0,7,98,22,8,9,323,29,153,0,55,0,16,34,58,3,4,14,60,0,7,0,10,3,104,49,0,22,69,17,54,4,3,2,1,11,25
"Cell516",0,62,1,23,6,69,2,0,1,30,45,90,0,1,62,18,28,2,7,18,13,24,2,2,3,37,28,94,0,20,0,15,6,7,0,12,4,3,0,48,62,13,0,20,9,26,190,5,4,49,32,4,6,409,46,112,0,89,0,23,37,60,1,1,6,41,0,6,5,4,10,83,68,0,25,104,15,38,8,18,0,0,14,28
"Cell517",0,54,1,28,2,47,0,0,5,23,52,42,0,11,28,10,28,2,2,43,2,20,4,0,0,8,26,49,0,10,0,3,0,5,4,5,19,3,0,50,64,4,0,32,4,39,104,4,1,67,16,21,3,321,21,112,0,49,1,4,25,100,5,5,21,12,0,3,6,4,5,39,52,3,34,53,36,35,1,8,5,2,15,31
"Cell518",0,20,2,3,1,23,0,0,0,14,30,42,3,4,13,5,18,0,2,26,4,10,0,0,0,13,13,59,0,7,1,3,0,8,0,6,3,4,0,28,34,1,0,31,1,22,103,2,6,39,11,8,6,152,18,107,0,26,0,7,30,39,1,0,10,9,3,5,1,3,5,44,50,0,15,51,28,18,1,6,3,0,7,24
"Cell519",0,29,4,7,6,60,0,0,5,13,39,66,0,11,38,2,33,7,3,18,17,28,5,3,5,20,15,56,0,24,0,11,0,4,0,8,7,3,0,80,48,2,0,42,16,17,167,3,1,47,5,0,4,283,14,127,0,51,0,15,16,68,5,2,8,33,0,7,7,9,4,93,51,0,25,60,27,24,0,4,2,2,2,25
"Cell520",0,47,1,32,4,64,0,0,2,17,61,64,0,17,32,8,60,0,3,27,11,35,4,1,1,24,35,51,0,16,0,13,5,4,2,15,5,1,1,68,85,2,0,57,2,38,203,4,6,110,8,6,5,262,39,202,0,67,0,15,39,108,6,5,13,45,2,15,9,5,3,66,74,0,51,139,25,47,2,7,3,6,22,28
"Cell521",0,39,0,15,2,34,0,0,10,22,54,87,3,1,30,12,75,0,3,19,5,17,4,2,7,23,32,116,0,6,0,13,1,8,3,18,2,2,0,56,63,3,0,41,2,21,145,4,0,68,27,3,7,259,23,103,0,92,0,8,30,60,2,6,11,29,0,7,0,1,6,65,46,1,43,51,25,26,1,20,1,0,12,57
"Cell522",0,32,0,5,9,24,1,0,2,16,37,33,0,4,18,19,35,2,0,33,1,14,0,0,4,7,25,33,0,8,0,3,3,1,3,5,2,0,0,43,41,5,0,26,0,26,96,1,5,78,5,9,0,184,14,76,1,61,0,11,13,47,3,1,8,19,0,3,3,4,9,30,37,0,25,33,16,28,0,8,4,0,15,20
"Cell523",0,40,0,16,2,46,0,0,0,29,77,46,0,6,44,18,54,1,0,28,11,16,3,0,3,17,15,62,0,8,1,5,3,5,2,10,6,2,0,56,50,1,0,18,10,21,163,9,7,58,9,3,5,406,25,137,1,63,0,2,26,84,0,1,7,42,0,11,10,5,6,71,63,0,37,59,32,38,0,6,3,1,34,24
"Cell524",0,74,0,12,4,41,0,0,0,14,46,50,0,10,22,14,49,3,0,12,9,22,2,1,4,35,14,42,0,7,0,15,3,0,4,5,3,0,0,46,50,3,0,26,2,27,131,3,2,65,10,2,7,214,31,97,1,27,0,2,36,48,6,0,7,21,0,6,0,5,5,76,32,2,40,50,22,34,1,8,3,1,7,20
"Cell525",0,58,3,30,5,44,0,0,7,21,85,70,1,3,29,23,46,4,7,30,6,24,3,4,0,28,24,70,1,16,0,21,1,7,6,16,2,5,0,47,52,4,0,48,5,23,222,2,8,88,28,4,4,409,15,138,1,79,0,20,27,50,1,1,19,49,0,4,0,2,4,80,85,0,59,64,32,48,0,8,6,1,19,23
"Cell526",0,90,2,20,3,35,1,0,4,30,49,53,0,8,22,4,66,0,2,26,5,16,2,0,3,38,30,110,0,6,0,21,0,3,3,12,3,13,2,48,60,7,1,35,1,35,178,0,8,68,25,5,11,373,33,157,0,49,0,7,29,56,3,3,9,37,0,9,0,3,11,64,59,0,22,103,12,40,2,6,14,0,13,18
"Cell527",0,54,0,18,10,40,3,0,6,12,51,68,1,5,37,25,42,4,2,23,13,31,0,4,0,29,55,79,2,13,0,26,1,16,2,7,4,0,0,54,65,6,0,64,4,41,183,2,9,99,11,8,9,327,40,185,0,69,0,14,38,57,3,1,13,39,0,1,13,0,8,112,74,0,23,47,16,43,1,30,6,0,9,23
"Cell528",0,36,0,16,5,7,0,4,5,13,64,43,0,2,9,1,23,0,2,15,6,13,3,1,0,14,45,41,0,3,0,7,1,6,0,5,3,3,2,22,35,3,0,18,10,13,119,1,6,50,10,1,6,190,18,88,0,51,0,2,12,32,1,5,2,19,0,7,2,1,8,15,47,0,22,43,20,34,0,5,4,1,4,16
"Cell529",0,50,0,17,2,38,0,0,3,27,39,80,0,3,10,12,47,4,2,25,14,18,2,3,0,21,52,117,0,7,4,17,4,13,1,12,1,3,1,39,83,3,2,44,2,30,155,3,3,117,7,14,9,303,59,120,0,63,0,8,20,88,0,3,6,22,0,3,3,3,11,73,69,0,56,118,22,46,0,11,7,0,15,33
"Cell530",0,48,4,11,6,41,0,0,1,23,40,69,0,4,37,12,31,0,1,6,11,10,6,6,0,49,20,55,1,17,2,19,0,4,1,12,4,8,2,50,62,4,0,57,7,45,212,4,4,64,16,2,6,268,23,155,0,91,0,10,32,79,2,0,4,54,1,6,0,2,11,57,33,0,36,71,18,53,2,24,8,1,15,24
"Cell531",0,29,1,21,11,33,0,0,2,18,33,26,0,6,28,4,29,2,1,23,4,8,1,0,0,14,14,56,0,5,0,9,0,1,0,8,2,0,0,20,36,5,0,33,0,7,110,0,1,34,12,0,1,181,5,81,4,39,0,5,16,63,2,0,15,20,0,6,6,4,4,69,56,0,15,34,5,20,0,16,1,0,5,23
"Cell532",0,54,1,8,1,34,0,0,6,15,49,25,0,0,18,8,35,1,1,38,9,6,1,2,1,10,21,41,0,11,0,3,1,5,4,6,1,0,1,40,28,4,0,26,2,13,77,1,9,53,11,5,7,136,18,67,1,51,0,10,10,53,1,0,9,22,0,2,2,3,4,67,23,0,18,45,13,21,0,13,10,1,18,31
"Cell533",0,44,0,16,2,42,0,2,6,21,52,50,2,9,28,15,43,1,2,17,3,15,1,1,5,27,41,62,0,3,0,8,0,1,0,14,3,1,0,40,77,18,0,44,2,28,220,3,3,77,13,16,3,329,47,140,0,66,0,4,37,67,1,0,9,54,0,9,1,7,12,66,25,0,42,85,16,50,2,9,0,3,23,27
"Cell534",0,45,0,32,1,54,0,1,1,32,71,63,0,7,34,26,68,0,5,33,18,16,3,4,2,31,52,98,0,8,0,9,1,4,1,12,10,0,0,49,75,24,0,45,17,29,226,7,4,65,16,5,2,320,31,132,0,73,0,3,29,81,2,7,14,33,0,6,4,8,3,63,51,0,98,54,16,40,4,12,0,0,19,27
"Cell535",0,34,0,15,1,28,4,0,3,19,38,22,0,7,27,7,37,1,0,7,7,20,3,0,1,18,29,43,0,2,0,7,2,9,0,15,3,7,0,47,51,8,0,36,1,16,126,0,16,62,23,4,2,175,18,73,0,39,0,5,17,80,1,7,11,30,0,7,1,2,6,54,39,0,34,59,13,31,1,9,3,0,22,20
"Cell536",0,38,0,20,0,14,2,0,3,12,31,32,1,5,16,6,41,0,4,21,1,33,6,0,1,12,22,35,0,6,0,11,1,5,2,3,0,5,0,25,36,2,2,21,1,23,93,0,3,30,9,0,1,139,22,79,2,41,0,7,30,46,1,0,9,15,0,12,4,2,13,37,19,0,29,45,15,22,2,3,4,0,12,3
"Cell537",0,26,1,19,0,17,0,0,3,12,48,57,0,2,26,6,46,2,3,19,4,17,9,7,2,22,17,82,0,8,0,16,0,5,0,10,3,4,0,21,39,1,0,23,0,30,117,2,12,68,9,2,4,322,25,129,0,43,0,8,33,59,2,1,6,54,0,1,5,2,5,64,32,0,62,55,18,32,0,2,6,1,20,26
"Cell538",0,41,1,24,2,28,0,0,3,20,84,38,2,9,36,11,55,0,1,18,9,6,7,0,0,19,28,69,2,19,0,16,2,4,1,16,10,0,1,52,29,7,0,25,4,27,152,3,4,55,4,4,4,243,16,131,0,61,0,4,42,92,7,1,24,22,0,13,2,6,5,55,42,0,27,62,23,39,1,7,4,2,25,32
"Cell539",0,40,0,31,7,44,1,0,5,26,63,58,1,6,21,5,43,0,11,30,11,17,4,5,3,22,39,63,0,26,0,15,1,11,0,6,0,4,0,67,117,3,0,52,10,42,135,3,7,75,7,1,1,267,18,136,1,118,0,5,72,104,2,8,8,24,0,7,1,4,3,48,47,1,40,91,8,59,0,7,1,0,23,42
"Cell540",0,13,0,7,0,16,0,0,3,20,22,25,0,6,17,2,25,0,5,22,1,21,8,0,2,22,24,29,0,4,0,10,1,4,0,6,15,3,0,21,22,5,0,23,2,9,114,0,2,40,3,2,4,213,23,82,0,38,1,4,17,27,3,0,6,16,2,2,4,2,1,45,35,0,20,21,12,19,0,5,3,1,1,31
"Cell541",0,35,1,17,7,30,1,0,2,27,37,73,3,1,38,20,58,3,3,25,5,17,2,9,2,24,45,63,0,22,1,6,1,12,0,9,2,5,0,93,106,6,0,33,8,25,206,2,10,96,25,4,4,329,16,126,1,64,0,9,32,78,6,0,19,45,0,8,2,2,8,81,47,0,47,69,24,35,1,13,6,3,21,20
"Cell542",0,30,3,9,6,44,0,0,1,13,23,43,0,1,26,12,26,3,4,34,6,21,4,2,2,38,42,46,0,11,0,16,0,10,0,10,4,0,0,45,36,14,0,43,4,17,155,0,1,71,17,2,1,224,30,137,3,82,0,3,28,69,1,3,6,42,0,5,10,2,10,93,65,0,36,69,18,48,9,6,5,0,11,11
"Cell543",0,49,0,2,5,17,0,0,5,23,38,53,0,12,37,16,40,0,0,26,12,34,3,1,5,23,26,64,0,8,0,8,0,3,0,8,7,3,0,48,56,5,0,55,7,40,123,0,3,45,18,4,5,298,28,136,0,66,0,12,22,52,6,2,9,19,1,2,1,4,8,42,47,0,36,40,16,31,1,4,2,0,8,21
"Cell544",0,47,2,12,6,40,1,0,4,11,79,60,0,6,9,10,20,4,2,20,5,32,1,7,1,35,34,44,0,6,0,15,0,9,0,8,5,4,0,50,39,9,1,35,8,39,199,1,2,62,15,3,1,287,22,139,0,51,0,11,18,86,3,2,6,17,0,7,5,1,10,48,51,0,39,71,19,33,3,10,4,1,24,25
"Cell545",0,67,0,20,1,49,1,0,3,46,47,31,5,11,16,4,25,2,1,29,4,21,5,5,1,25,30,74,0,12,0,14,0,3,1,6,4,10,0,63,59,4,0,29,6,22,175,5,5,66,16,4,3,249,16,135,0,69,0,8,37,72,1,5,11,29,0,14,2,14,16,48,30,5,36,77,13,44,7,10,7,5,2,21
"Cell546",0,44,1,23,16,31,0,0,2,19,65,37,1,6,22,2,44,0,0,23,8,35,1,5,2,27,11,44,0,15,0,9,0,7,0,8,11,2,0,47,65,5,0,54,4,36,185,0,3,59,16,3,9,282,35,110,0,42,0,10,28,81,3,2,20,27,0,8,2,0,6,81,69,0,21,71,21,30,0,7,1,1,13,33
"Cell547",0,34,2,15,3,28,1,0,8,14,87,57,2,5,13,3,59,3,3,30,8,14,5,3,0,36,27,54,0,4,0,6,1,4,0,10,0,0,4,58,51,19,0,34,4,31,162,3,1,66,18,5,4,320,36,98,0,76,0,4,21,77,1,5,4,34,0,6,3,0,6,105,56,0,24,74,27,25,0,15,4,0,4,26
"Cell548",0,27,1,22,1,23,0,0,1,13,36,35,1,6,20,9,22,0,1,15,0,15,1,1,4,15,25,23,0,17,0,8,0,3,1,9,2,4,0,50,26,1,1,20,2,19,98,4,1,43,12,1,7,224,20,97,0,64,0,19,23,38,0,3,16,23,0,0,5,3,8,46,29,0,15,44,8,26,0,8,0,0,6,11
"Cell549",0,61,1,21,1,33,1,0,6,16,47,54,0,9,26,17,79,0,1,31,13,13,0,4,3,41,19,61,0,14,1,12,0,12,0,13,2,0,0,42,95,3,0,69,2,48,251,1,9,82,2,5,4,333,16,159,1,57,0,19,27,42,3,2,21,25,0,3,2,2,8,53,73,3,27,88,24,48,1,13,3,0,15,28
"Cell550",0,56,5,15,2,37,0,0,1,26,54,43,0,0,37,8,35,3,0,29,7,27,0,0,1,32,22,46,0,10,0,14,0,5,0,8,5,1,1,55,56,6,0,23,8,40,204,4,1,81,9,2,23,280,39,110,0,43,0,5,28,68,0,2,10,22,0,8,3,6,5,52,62,0,31,71,11,25,5,15,3,0,17,24
"Cell551",0,88,0,19,8,36,1,0,9,31,83,37,0,19,34,17,54,0,3,24,7,23,6,1,0,47,29,98,0,8,0,10,1,8,1,7,2,0,0,59,51,7,0,43,2,17,213,3,12,62,24,10,5,352,38,120,0,85,0,9,34,77,5,2,8,26,0,18,1,2,6,53,57,0,28,56,13,54,3,10,7,0,17,25
"Cell552",0,31,2,23,2,43,2,0,2,20,56,34,0,6,16,7,31,0,8,30,8,37,4,1,2,22,46,78,0,10,0,10,3,4,3,7,3,0,2,45,84,5,0,47,4,33,152,3,4,73,10,5,4,236,25,124,0,69,0,8,29,75,3,0,5,30,0,3,6,1,7,61,85,1,21,76,23,36,1,8,1,6,19,18
"Cell553",0,41,4,28,0,30,0,0,0,22,66,33,0,2,16,6,12,6,2,6,7,4,8,1,1,40,23,41,0,2,0,8,0,4,0,4,1,4,0,23,47,1,0,22,2,30,116,0,11,46,19,5,6,296,16,62,0,49,0,6,20,56,1,0,9,16,0,3,3,6,4,30,16,1,24,33,20,42,2,10,1,4,8,17
"Cell554",0,40,1,21,13,37,0,0,1,28,30,36,0,11,31,7,31,2,6,25,8,6,5,10,2,20,31,70,0,8,0,13,3,7,0,4,3,0,0,61,119,3,0,30,1,20,208,2,5,71,7,10,6,339,21,105,0,41,0,10,38,78,3,0,11,24,0,18,0,1,12,77,59,0,22,67,25,44,1,11,3,0,14,29
"Cell555",0,63,0,21,4,15,3,0,1,24,34,35,0,4,31,6,32,1,4,15,1,15,2,5,6,28,39,67,0,19,0,12,0,4,0,9,4,0,0,48,66,8,1,32,2,34,107,1,3,52,8,3,6,301,20,95,0,60,0,8,38,70,4,9,9,25,0,2,4,3,13,49,46,0,30,41,10,32,2,7,3,1,8,22
"Cell556",0,22,0,16,4,23,0,0,2,14,41,48,0,4,17,4,42,2,3,12,2,8,0,6,0,22,20,42,0,10,2,8,0,2,1,2,6,4,2,37,40,1,0,20,2,19,88,4,0,64,7,6,5,172,19,104,0,34,0,5,25,28,0,4,10,38,0,4,1,1,8,59,42,0,30,55,13,27,0,9,3,0,8,37
"Cell557",0,44,0,26,2,48,1,0,1,39,74,65,0,6,49,7,61,0,4,18,10,27,0,3,6,32,33,88,0,7,2,10,2,8,1,9,4,1,0,56,64,1,0,32,3,64,181,1,14,72,13,11,8,228,40,117,0,69,0,13,40,79,2,0,4,35,5,9,4,2,5,75,58,0,33,119,9,40,0,17,8,0,17,32
"Cell558",0,52,0,7,1,53,3,0,3,15,46,49,0,5,25,3,31,1,7,23,12,18,2,3,2,27,40,83,0,8,0,14,2,15,0,5,2,0,0,65,84,1,0,66,5,72,167,0,4,62,8,4,15,366,20,164,1,94,0,5,44,83,5,1,13,30,0,8,4,4,8,59,63,0,91,59,28,22,3,12,10,1,14,30
"Cell559",0,47,2,14,3,47,1,2,5,25,48,44,0,15,32,7,22,1,9,17,7,13,6,6,3,18,23,79,0,16,1,15,1,4,0,9,4,2,1,59,68,5,0,35,1,25,227,3,9,95,13,11,4,214,26,120,0,66,0,8,27,90,3,0,9,21,1,13,5,0,3,47,43,0,24,51,9,53,2,7,3,0,23,19
"Cell560",0,63,0,18,1,45,0,0,2,20,38,93,0,3,46,12,51,4,2,17,11,27,7,1,1,32,28,46,0,9,0,6,2,3,1,2,0,0,1,32,55,6,0,48,3,24,166,2,9,72,10,2,0,255,21,102,0,63,0,15,58,61,1,0,8,39,0,2,0,6,6,97,89,0,45,76,23,40,0,12,2,0,18,17
"Cell561",0,44,0,15,2,37,0,0,4,21,81,58,0,7,31,15,33,5,3,30,4,16,3,3,5,33,35,86,0,13,0,13,4,4,3,6,2,1,2,40,56,7,0,62,4,45,152,4,5,64,22,1,7,287,22,139,0,38,0,6,19,50,0,3,11,31,0,5,1,7,14,51,73,0,69,60,27,56,7,4,2,1,11,33
"Cell562",0,71,0,19,12,49,1,0,4,25,78,49,1,7,44,7,52,3,0,33,14,22,1,2,1,36,38,75,0,18,1,23,2,13,2,13,1,3,0,53,104,8,0,40,9,37,164,5,1,72,18,1,9,330,49,133,0,82,0,10,76,70,1,12,5,24,0,11,2,4,9,47,61,1,51,59,38,38,0,4,1,4,11,22
"Cell563",0,66,2,13,1,33,0,1,2,21,60,57,0,3,28,4,45,4,1,26,5,44,3,2,4,25,28,67,0,6,0,10,0,2,0,7,4,0,0,43,47,0,1,32,3,23,185,1,2,64,15,8,13,271,20,88,0,60,0,7,24,70,2,3,7,43,0,9,7,4,9,64,49,0,36,98,15,36,1,8,1,2,15,18
"Cell564",0,24,1,21,4,43,0,0,2,9,69,46,0,1,29,1,29,4,6,20,10,16,4,0,1,38,33,56,0,9,0,13,2,14,0,4,9,0,0,46,36,8,0,27,0,15,133,2,2,56,13,1,9,262,29,93,1,45,0,5,12,80,3,4,7,30,0,3,1,7,8,45,37,0,33,50,16,32,0,9,0,0,10,20
"Cell565",0,43,0,9,3,27,5,0,6,24,73,57,0,3,10,8,30,2,1,27,4,14,2,3,3,18,21,66,0,6,0,6,1,2,4,5,4,5,0,35,39,3,1,23,4,31,137,1,8,31,14,5,2,254,19,80,0,63,0,2,15,53,3,0,4,23,0,8,2,3,1,55,51,0,31,43,10,22,3,2,6,1,11,23
